"quantity_name","units"
"A","No units found"
"aba_decay_constant","No units found"
"aba_influence_coefficient","No units found"
"absorbed_shortwave","J / (m^2 leaf) / s"
"absorptivity_par","dimensionless"
"acceleration_from_gravity","No units found"
"alpha","mol / mol"
"alpha_rue","mol / mol"
"alpha_rue","dimensionless"
"alpha1","mol / mol"
"alphab1","No units found"
"alphaLeaf","dimensionless"
"alphaRoot","dimensionless"
"alphaSeneLeaf","dimensionless"
"alphaSeneRhizome","dimensionless"
"alphaSeneRoot","dimensionless"
"alphaSeneStem","dimensionless"
"alphaShell","dimensionless"
"alphaStem","dimensionless"
"Assim","micromol / m^2 / s"
"Assim","micromole / m^2 /s"
"atmospheric_co2_concentration","No units found"
"atmospheric_pressure","Pa"
"atmospheric_scattering","dimensionless"
"atmospheric_transmittance","dimensionless"
"average_absorbed_shortwave","J / (m^2 leaf) / s"
"average_absorbed_shortwave_layer_0","J / (m^2 leaf) / s"
"average_absorbed_shortwave_layer_1","J / (m^2 leaf) / s"
"average_absorbed_shortwave_layer_2","J / (m^2 leaf) / s"
"average_absorbed_shortwave_layer_3","J / (m^2 leaf) / s"
"average_absorbed_shortwave_layer_4","J / (m^2 leaf) / s"
"average_absorbed_shortwave_layer_5","J / (m^2 leaf) / s"
"average_absorbed_shortwave_layer_6","J / (m^2 leaf) / s"
"average_absorbed_shortwave_layer_7","J / (m^2 leaf) / s"
"average_absorbed_shortwave_layer_8","J / (m^2 leaf) / s"
"average_absorbed_shortwave_layer_9","J / (m^2 leaf) / s"
"average_incident_ppfd_layer_0","J / (m^2 leaf) / s"
"average_incident_ppfd_layer_1","J / (m^2 leaf) / s"
"average_incident_ppfd_layer_2","J / (m^2 leaf) / s"
"average_incident_ppfd_layer_3","J / (m^2 leaf) / s"
"average_incident_ppfd_layer_4","J / (m^2 leaf) / s"
"average_incident_ppfd_layer_5","J / (m^2 leaf) / s"
"average_incident_ppfd_layer_6","J / (m^2 leaf) / s"
"average_incident_ppfd_layer_7","J / (m^2 leaf) / s"
"average_incident_ppfd_layer_8","J / (m^2 leaf) / s"
"average_incident_ppfd_layer_9","J / (m^2 leaf) / s"
"B","No units found"
"b0","mol / m^2 / s"
"b1","dimensionless"
"bb0","mol / m^2 / s"
"bb1","dimensionless"
"beta","dimensionless"
"betaLeaf","dimensionless"
"betaRoot","dimensionless"
"betaSeneLeaf","dimensionless"
"betaSeneRhizome","dimensionless"
"betaSeneRoot","dimensionless"
"betaSeneStem","dimensionless"
"betaShell","dimensionless"
"betaStem","dimensionless"
"C","No units found"
"C_conv","kg / mol"
"Ca","No units found"
"canopy_assimilation_rate","Mg / ha / hr"
"canopy_assimilation_rate","Mg / ha / hour"
"canopy_conductance","Mg / ha / hr"
"canopy_conductance","mmol / m^2 / s"
"canopy_direct_transmission_fraction","dimensionless"
"canopy_transpiration_rate","Mg / ha / hr"
"carboxylation_rate","No units found"
"Catm","micromol / mol"
"Catm","micromole / mol"
"chil","dimensionless"
"chil","dimensionless from m^2 / m^2"
"Ci","micromol / mol"
"Ci","micromole / mol"
"cLc","No units found"
"cLm","No units found"
"cLn","No units found"
"clock_area_asymm","No units found"
